VIN,"Stock Number",New/Used,MSRP,Year,Make,Model,"Body Style",Series,"Exterior Colour","Interior Colour",Trim,"Engine Size","Cylinder Count","Door Count","Drive configuration","Additional Options","Current Miles","Date Added to Inventory",Status,"Fuel Type","Vehicle Location","Certified Pre-owned",Price,"Transmission Description","Internet Description","Vehicle Class","Main Photo","Main Photo Last Modified Date","Extra Photos","Extra Photo Last Modified Date"
5YFBPRBEXLP035611,E2721,Used,23238,2020,Toyota,Corolla,sedan,,red,black,"LE CVT",1.8l,4,"4 Dr",FWD,"Air Conditioning; Backup Camera; Cruise Control; Heated Seats; Keyless Entry; Power Windows; Sunroof; 2-year free oil changes included on all our certified vehicles",21937,06/17/2020,"In Stock","regular unleaded",Dundas,TRUE,23238,Automatic,"Looking to Purchase or Finance a Toyota Corolla or just a Toyota Sedan? We carry 100's of handpicked vehicles and have multiple Toyota Sedans in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Toyota Corollas or  similar Sedans. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW TOYOTA COROLLA! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW TOYOTA COROLLA INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Toyota Corolla has Empire Auto Group's Seal of Approval. * This Toyota Corolla looks sharp in red. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",sedan,https://empireautolondon.com/inventory/E2721/01.jpg,"06/07/2020 12:29:47",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/E2721/1592410357.jpg,"06/07/2020 10:45:58;06/07/2020 12:29:48"
3FA6P0RU9LR141719,E2681,Used,28238,2020,Ford,Fusion,sedan,,white,black,HYBRID,2.0l,4,"4 Dr",FWD,"BACK-UP CAMERA; LEATHER; POWER MOONROOF; BLUETOOTH CONNECTIVITY; MEMORY SEAT; COOLED SEATS; NAVIGATION SYSTEM; VOICE COMMAND/ RECOGNITION; HD RADIO; NAVIGATION W/ HARD DRIVE; HEATED SEATS - DRIVER AND PASSENGER; PARKING DISTANCE CONTROL; 5 PASSENGER; ELECTRIC MIRRORS; RF SIDE AIRBAG; ACTIVE BLIND SPOT ASSIST; FOG LIGHTS; SEAT - POWER DRIVER AND PASSENGER; AIR CONDITIONING; KEYLESS GO; SIDE FRONT AIR BAGS; AIRBAG FRONT LEFT; LF SIDE AIRBAG; SPOILER; AIRBAG FRONT RIGHT; POWER LOCKS; TELESCOPE; AIRBAG FRONT RIGHT; POWER MIRRORS; TILT WHEEL; AM/FM/CD; POWER STEERING; TRACTION CONTROL; CD IN DASH; POWER WINDOWS; USB INPUT; CRUISE CONTROL; RAIN SENSORED WINDSHIELD; DUAL AIR BAGS; REMOTE START",14543,06/05/2020,"In Stock","regular unleaded/electric",Dundas,TRUE,28238,Automatic,"Looking to Purchase or Finance a Ford Fusion or just a Ford Sedan? We carry 100's of handpicked vehicles and have multiple Ford Sedans in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Ford Fusions or  similar Sedans. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW FORD FUSION! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW FORD FUSION INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Ford Fusion has Empire Auto Group's Seal of Approval. * This Ford Fusion looks sharp in white. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",sedan,https://empireautolondon.com/inventory/E2681/01.jpg,"06/07/2020 12:29:19",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/E2681/02.jpg;https://empireautolondon.com/inventory/E2681/03.jpg;https://empireautolondon.com/inventory/E2681/04.jpg;https://empireautolondon.com/inventory/E2681/05.jpg;https://empireautolondon.com/inventory/E2681/06.jpg;https://empireautolondon.com/inventory/E2681/07.jpg;https://empireautolondon.com/inventory/E2681/08.jpg;https://empireautolondon.com/inventory/E2681/09.jpg;https://empireautolondon.com/inventory/E2681/10.jpg;https://empireautolondon.com/inventory/E2681/11.jpg;https://empireautolondon.com/inventory/E2681/12.jpg;https://empireautolondon.com/inventory/E2681/13.jpg;https://empireautolondon.com/inventory/E2681/14.jpg;https://empireautolondon.com/inventory/E2681/15.jpg,"06/07/2020 10:45:58;06/07/2020 12:29:19;06/07/2020 12:29:19;06/07/2020 12:29:20;06/07/2020 12:29:19;06/07/2020 12:29:20;06/07/2020 12:29:20;06/07/2020 12:29:20;06/07/2020 12:29:20;06/07/2020 12:29:21;06/07/2020 12:29:20;06/07/2020 12:29:21;06/07/2020 12:29:21;06/07/2020 12:29:21;06/07/2020 12:29:21"
KL8CD6SA7KC748555,E2894,Used,16488,2019,Chevrolet,Spark,hatchback,,white,cloth,LT,1.4l,4,"4 Dr",FWD,,51075,08/20/2020,"In Stock","regular unleaded",Dundas,TRUE,16488,Automatic,"Looking to Purchase or Finance a Chevrolet Spark or just a Chevrolet Hatchback? We carry 100's of handpicked vehicles and have multiple Chevrolet Hatchbacks in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Chevrolet Sparks or  similar Hatchbacks. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW CHEVROLET SPARK! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW CHEVROLET SPARK INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Chevrolet Spark has Empire Auto Group's Seal of Approval. * This Chevrolet Spark looks sharp in white. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",hatchback,https://empireautolondon.com/inventory/default.jpg,"06/07/2020 10:45:58",https://empireautolondon.com/inventory/tile2.jpg,"06/07/2020 10:45:58"
5N1AZ2MS5KN136272,S4954,Used,31988,2019,Nissan,Murano,nissan,,white,cloth,SV,3.5l,6,4-DR,FWD,"BACK-UP CAMERA - NAVIGATION SYSTEM - SUN ROOF - DRIVE TRAIN - ALL WHEEL - NAVIGATION W/ HARD DRIVE - HEATED SEATS - DRIVER AND PASSENGER - POWER REAR HATCH - 2-YEAR FREE OIL CHANGES INCLUDED ON ALL OUR CERTIFIED VEHICLES",43442,07/03/2020,"In Stock",MURANO,Dundas,TRUE,31988,Automatic,"Looking to Purchase or Finance a Nissan Murano or just a Nissan Nissan? We carry 100's of handpicked vehicles and have multiple Nissan Nissans in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Nissan Muranos or  similar Nissans. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW NISSAN MURANO! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW NISSAN MURANO INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Nissan Murano has Empire Auto Group's Seal of Approval. * This Nissan Murano looks sharp in white. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",nissan,https://empireautolondon.com/inventory/S4954/01.jpg,"17/08/2020 14:24:00",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/S4954/02.jpg;https://empireautolondon.com/inventory/S4954/03.jpg;https://empireautolondon.com/inventory/S4954/04.jpg;https://empireautolondon.com/inventory/S4954/05.jpg;https://empireautolondon.com/inventory/S4954/06.jpg;https://empireautolondon.com/inventory/S4954/07.jpg;https://empireautolondon.com/inventory/S4954/08.jpg;https://empireautolondon.com/inventory/S4954/09.jpg,"06/07/2020 10:45:58;17/08/2020 14:24:01;17/08/2020 14:24:02;17/08/2020 14:24:02;17/08/2020 14:24:03;17/08/2020 14:24:03;17/08/2020 14:24:04;17/08/2020 14:24:05;17/08/2020 14:24:05"
2C4RDGBG1KR699808,S4952,Used,28988,2019,Dodge,"Grand Caravan","sports van",,grey,leather/suede,"SE PLUS",3.6l,6,4-DR,FWD,"BACK-UP CAMERA - NAVIGATION SYSTEM - REAR AIR CONDITIONING - BLUETOOTH CONNECTIVITY - OVERHEAD MONITORS - SATELLITE RADIO SIRIUS - DVD - PARKING DISTANCE CONTROL (PDC) - 2-YEAR FREE OIL CHANGES INCLUDED ON ALL OUR CERTIFIED VEHICLES",14585,07/03/2020,"In Stock","regular unleaded",Springbank,TRUE,28988,Automatic,"Looking to Purchase or Finance a Dodge Grand Caravan or just a Dodge Sports Van? We carry 100's of handpicked vehicles and have multiple Dodge Sports Vans in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Dodge Grand Caravans or  similar Sports Vans. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW DODGE GRAND CARAVAN! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW DODGE GRAND CARAVAN INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Dodge Grand caravan has Empire Auto Group's Seal of Approval. * This Dodge Grand caravan looks sharp in grey. SEE MORE AT : www.EMPIREAUTOGROUP.CA.","sports van",https://empireautolondon.com/inventory/default.jpg,"06/07/2020 10:45:58",https://empireautolondon.com/inventory/tile2.jpg,"06/07/2020 10:45:58"
KNDPM3AC4K7538434,E2733,Used,22238,2019,Kia,Sportage,suv,,black,cloth,LX,2.4l,6,"4 Dr",FWD,"BACK-UP CAMERA; HEATED SEATS - DRIVER AND PASSENGER; VOICE COMMAND/ RECOGNITION; BLUETOOTH CONNECTIVITY; 5 PASSENGER; FLOOR MATS; RF SIDE AIRBAG; AIR CONDITIONING; FOG LIGHTS; RR SIDE AIRBAG; AIRBAG FRONT LEFT; HARD TOP; S AIRBAG RIGHT FRONT; AIRBAG FRONT RIGHT; LF SIDE AIRBAG; AIRBAG FRONT RIGHT; LR SIDE AIRBAG; SIDE FRONT AIR BAGS; AM/FM/CD; MP3 CAPABILITY; SPOILER; CLOTH SEATS; POWER LOCKS; TELESCOPE; CRUISE CONTROL; POWER MIRRORS; TILT WHEEL; DRIVE TRAIN - 2 WHEEL; POWER STEERING; TRACTION CONTROL; DUAL AIR BAGS; POWER WINDOWS; USB INPUT; ELECTRIC MIRRORS; REAR WIPER; 2-year free oil changes included on all our certified vehicles",87399,06/19/2020,"In Stock","regular unleaded",Dundas,TRUE,22238,Automatic,"Looking to Purchase or Finance a Kia Sportage or just a Kia Suv? We carry 100's of handpicked vehicles and have multiple Kia Suvs in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Kia Sportages or  similar Suvs. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW KIA SPORTAGE! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW KIA SPORTAGE INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Kia Sportage has Empire Auto Group's Seal of Approval. * This Kia Sportage looks sharp in black. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",suv,https://empireautolondon.com/inventory/E2733/01.jpg,"29/07/2020 12:47:29",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/E2733/02.jpg;https://empireautolondon.com/inventory/E2733/03.jpg;https://empireautolondon.com/inventory/E2733/04.jpg;https://empireautolondon.com/inventory/E2733/05.jpg;https://empireautolondon.com/inventory/E2733/06.jpg;https://empireautolondon.com/inventory/E2733/07.jpg;https://empireautolondon.com/inventory/E2733/08.jpg;https://empireautolondon.com/inventory/E2733/09.jpg;https://empireautolondon.com/inventory/E2733/10.jpg;https://empireautolondon.com/inventory/E2733/11.jpg;https://empireautolondon.com/inventory/E2733/12.jpg;https://empireautolondon.com/inventory/E2733/13.jpg;https://empireautolondon.com/inventory/E2733/14.jpg;https://empireautolondon.com/inventory/E2733/15.jpg,"06/07/2020 10:45:58;29/07/2020 12:47:29;29/07/2020 12:47:30;29/07/2020 12:47:30;29/07/2020 12:47:30;29/07/2020 12:47:30;29/07/2020 12:47:30;29/07/2020 12:47:30;29/07/2020 12:47:30;29/07/2020 12:47:30;29/07/2020 12:47:30;29/07/2020 12:47:30;29/07/2020 12:47:30;29/07/2020 12:47:30;29/07/2020 12:47:30"
5TFDZ5BN7KX039997,E2729,Used,38238,2019,Toyota,Tacoma,truck,,grey,grey,"SR5 DOUBLE CAB",3.5L,6,"4 Dr",4WD,"BACK-UP CAMERA; HEATED SEATS - DRIVER AND PASSENGER; 4WD; CRUISE CONTROL; POWER STEERING; 5 PASSENGER; DUAL AIR BAGS; POWER WINDOWS; AIR CONDITIONING; ELECTRIC MIRRORS; RF SIDE AIRBAG; AIRBAG FRONT LEFT; HARD TOP; SIDE FRONT AIR BAGS; AIRBAG FRONT RIGHT; LF SIDE AIRBAG; TRACTION CONTROL; AM/FM/CD; POWER LOCKS; CLOTH SEATS; POWER MIRRORS",40663,06/18/2020,"In Stock","REGULAR unleaded",Southdale,TRUE,38238,Automatic,"Looking to Purchase or Finance a Toyota Tacoma or just a Toyota Truck? We carry 100's of handpicked vehicles and have multiple Toyota Trucks in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Toyota Tacomas or  similar Trucks. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW TOYOTA TACOMA! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW TOYOTA TACOMA INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Toyota Tacoma has Empire Auto Group's Seal of Approval. * This Toyota Tacoma looks sharp in grey. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",truck,https://empireautolondon.com/inventory/default.jpg,"06/07/2020 10:45:58",https://empireautolondon.com/inventory/tile2.jpg,"06/07/2020 10:45:58"
1C4PJMBX6KD210126,E2728,Used,29238,2019,Jeep,"Cherokee ",suv,,grey,"black ","TRAILHAWK ELITE",3.2L,6,"4 Dr","4 WHEEL DRIVE ","BACK-UP CAMERA; LEATHER; POWER REAR HATCH; HEATED SEATS - DRIVER AND PASSENGER; PANORAMA ROOF; 4WD; CRUISE CONTROL; POWER STEERING; 5 PASSENGER; DUAL AIR BAGS; POWER WINDOWS; AIR CONDITIONING; POWER LIFTGATE; TRACTION CONTROL; AIRBAG FRONT RIGHT; POWER LOCKS; AM/FM; POWER MIRRORS; 2-year free oil changes included on all our certified vehicles",64941,06/18/2020,"In Stock","REGULAR unleaded",Springbank,TRUE,29238,Automatic,"Looking to Purchase or Finance a Jeep Cherokee  or just a Jeep Suv? We carry 100's of handpicked vehicles and have multiple Jeep Suvs in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Jeep Cherokee s or  similar Suvs. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW JEEP CHEROKEE ! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW JEEP CHEROKEE  INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Jeep Cherokee  has Empire Auto Group's Seal of Approval. * This Jeep Cherokee  looks sharp in grey. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",suv,https://empireautolondon.com/inventory/default.jpg,"06/07/2020 10:45:58",https://empireautolondon.com/inventory/tile2.jpg,"06/07/2020 10:45:58"
2C4RDGEG0KR514725,E2705,Used,30238,2019,Dodge,"Grand Caravan",van,,grey,black,GT,3.6L,,"4 Dr",FWD,"BACK-UP CAMERA; HEATED SEATS - DRIVER AND PASSENGER; VOICE COMMAND/ RECOGNITION; BLUETOOTH CONNECTIVITY; LEATHER; FOLD-AWAY SEATING; 7 PASSENGER; HARD TOP; REAR SPOILER; AIR CONDITIONING; HEATED MIRRORS; REAR WIPER; AIRBAG FRONT LEFT; LF SIDE AIRBAG; RF SIDE AIRBAG; AIRBAG FRONT RIGHT; LR SIDE AIRBAG; RR SIDE AIRBAG; AM/FM/CD; MP3 CAPABILITY; SEAT - POWER DRIVER AND PASSENGER; CRUISE CONTROL; POWER LOCKS; TELESCOPE; DUAL AIR BAGS; POWER MIRRORS; TILT WHEEL; DUAL POWER SLIDING DOORS; POWER MIRRORS; TRACTION CONTROL; FLOOR MATS; POWER STEERING; USB INPUT; FOG LIGHTS; POWER WINDOWS; FOG LIGHTS; REAR SHADES; 2-year free oil changes included on all our certified vehicles",49500,06/11/2020,"In Stock",GASOLINE,Southdale,TRUE,30238,Automatic,"Looking to Purchase or Finance a Dodge Grand Caravan or just a Dodge Van? We carry 100's of handpicked vehicles and have multiple Dodge Vans in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Dodge Grand Caravans or  similar Vans. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW DODGE GRAND CARAVAN! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW DODGE GRAND CARAVAN INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Dodge Grand caravan has Empire Auto Group's Seal of Approval. * This Dodge Grand caravan looks sharp in grey. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",van,https://empireautolondon.com/inventory/E2705/01.jpg,"06/07/2020 12:29:37",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/E2705/02.jpg;https://empireautolondon.com/inventory/E2705/03.jpg;https://empireautolondon.com/inventory/E2705/04.jpg;https://empireautolondon.com/inventory/E2705/05.jpg;https://empireautolondon.com/inventory/E2705/06.jpg;https://empireautolondon.com/inventory/E2705/07.jpg;https://empireautolondon.com/inventory/E2705/08.jpg,"06/07/2020 10:45:58;06/07/2020 12:29:37;06/07/2020 12:29:38;06/07/2020 12:29:38;06/07/2020 12:29:38;06/07/2020 12:29:38;06/07/2020 12:29:38;06/07/2020 12:29:38"
5NMS2CAD2KH088977,E2680,Used,28238,2019,Hyundai,"Santa Fe ",suv,,red,black,ESSENTIAL,2.4l,4,"4 Dr",AWD,"BACK-UP CAMERA; DRIVE TRAIN - ALL WHEEL; VOICE COMMAND/ RECOGNITION; BLUETOOTH CONNECTIVITY; HEATED SEATS - DRIVER AND PASSENGER; 5 PASSENGER; DUAL AIR BAGS; POWER STEERING; AIR CONDITIONING; FOG LIGHTS; POWER WINDOWS; AIRBAG FRONT LEFT; HARD TOP; RF SIDE AIRBAG; AIRBAG FRONT RIGHT; LEFT CURTAIN AIRBAG; AM/FM; LF SIDE AIRBAG; TRACTION CONTROL; BLUETOOTH; MP3 CAPABILITY; USB INPUT; CLOTH SEATS; POWER LOCKS; CRUISE CONTROL; POWER MIRRORS; 2-year free oil changes included on all our certified vehicles",20713,06/05/2020,"In Stock","regular unleaded",Dundas,TRUE,28238,Automatic,"Looking to Purchase or Finance a Hyundai Santa Fe  or just a Hyundai Suv? We carry 100's of handpicked vehicles and have multiple Hyundai Suvs in stock! Visit us online at www.EmpireAutoGroup.ca to view our full line-up of Hyundai Santa Fe s or  similar Suvs. New Vehicles Arriving Daily! FINANCING AVAILABLE FOR THIS LIKE NEW HYUNDAI SANTA FE ! REGARDLESS OF YOUR CURRENT CREDIT SITUATION! APPLY WITH CONFIDENCE! SAME DAY APPROVALS! www.EMPIREAUTOGROUP.CA or CALL 519-659-0888. THIS LIKE NEW HYUNDAI SANTA FE  INCLUDES: * Wide range of options that you will enjoy. * Comfortable interior seating. * Safety Options to protect your loved ones. * This handpicked Hyundai Santa fe  has Empire Auto Group's Seal of Approval. * This Hyundai Santa fe  looks sharp in red. SEE MORE AT : www.EMPIREAUTOGROUP.CA.",suv,https://empireautolondon.com/inventory/E2680/01.jpg,"06/07/2020 12:29:16",https://empireautolondon.com/inventory/tile2.jpg;https://empireautolondon.com/inventory/E2680/02.jpg;https://empireautolondon.com/inventory/E2680/02.jpg1591989027.jpg;https://empireautolondon.com/inventory/E2680/03.jpg;https://empireautolondon.com/inventory/E2680/03.jpg1591989027.jpg;https://empireautolondon.com/inventory/E2680/04.jpg;https://empireautolondon.com/inventory/E2680/04.jpg1591989027.jpg;https://empireautolondon.com/inventory/E2680/05.jpg;https://empireautolondon.com/inventory/E2680/05.jpg1591989027.jpg;https://empireautolondon.com/inventory/E2680/06.jpg;https://empireautolondon.com/inventory/E2680/06.jpg1591989027.jpg;https://empireautolondon.com/inventory/E2680/07.jpg,"06/07/2020 10:45:58;06/07/2020 12:29:16;06/07/2020 12:29:16;06/07/2020 12:29:17;06/07/2020 12:29:17;06/07/2020 12:29:17;06/07/2020 12:29:17;06/07/2020 12:29:17;06/07/2020 12:29:18;06/07/2020 12:29:18;06/07/2020 12:29:18;06/07/2020 12:29:18"
